Rank,Player,School,POS,SOLO,AST,TOT,SACK,YDS,PD,INT,TD,FF,Year,Draft Round -0 if not drafted
1,Kentrell Brothers,Unknown,LB,73,79,152,2.5,-12,0,2,0,1,2015,5
2,Armani Watts,Unknown,S,83,43,126,0.0,0,0,1,0,2,2015,0
3,Rudy Ford,Unknown,S,68,50,118,1.0,-7,0,2,1,2,2015,0
4,Skai Moore,Unknown,LB,68,42,110,2.0,-11,0,4,0,2,2015,0
5,Richie Brown,Unknown,LB,51,57,108,6.5,-45,0,1,0,0,2015,0
6,Jalen Reeves-Maybin,Unknown,LB,66,39,105,6.0,-46,0,0,0,2,2015,0
7,Jake Ganus,Unknown,LB,44,58,102,1.0,-3,0,2,0,0,2015,0
7,Reggie Ragland,Unknown,LB,60,42,102,2.5,-10,0,0,0,2,2015,2
7,Brooks Ellis,Unknown,LB,45,57,102,1.5,-13,0,1,0,0,2015,0
7,Zach CunninghamVAN,Unknown,LB,70,32,102,4.5,-32,0,0,0,3,2015,0
11,Deion Jones,Unknown,LB,56,43,99,5.0,-38,0,2,1,1,2015,2
12,Beniquez Brown,Unknown,LB,48,50,98,4.0,-21,0,1,0,0,2015,0
13,Kris Frost,Unknown,LB,36,60,96,0.0,0,0,2,0,1,2015,0
14,Dre Greenlaw,Unknown,LB,46,49,95,1.0,-14,0,0,0,1,2015,0
15,Keanu NealFLA,Unknown,S,51,43,94,2.0,-25,0,1,0,1,2015,0
16,Josh Forrest,Unknown,LB,39,54,93,3.5,-20,0,2,1,0,2015,6
16,Michael Scherer,Unknown,LB,47,46,93,0.0,0,0,0,0,0,2015,0
18,Jarrad DavisFLA,Unknown,LB,52,40,92,3.5,-23,0,1,0,1,2015,0
19,Antonio MorrisonFLA,Unknown,LB,46,45,91,2.5,-25,0,0,0,0,2015,0
20,Kendell Beckwith,Unknown,LB,50,33,83,3.5,-29,0,0,0,1,2015,0
21,Shaan Washington,Unknown,LB,29,52,81,1.0,-10,0,0,0,1,2015,0
22,Marcus MayeFLA,Unknown,S,46,33,79,0.0,0,0,2,0,5,2015,0
23,Justin Evans,Unknown,S,47,31,78,0.0,0,0,1,0,0,2015,0
24,Kivon Coman,Unknown,DB,39,37,76,0.5,-3,0,1,0,0,2015,0
24,DeMarquis Gates,Unknown,LB,46,30,76,0.0,0,0,0,0,1,2015,0
26,Isaiah Johnson,Unknown,S,45,29,74,0.0,0,0,1,0,0,2015,0
26,Cassanova McKinzy,Unknown,LB,37,37,74,5.0,-45,0,0,0,1,2015,0
26,Leonard Floyd,Unknown,LB,37,37,74,4.5,-23,0,0,0,0,2015,1
29,Reuben Foster,Unknown,LB,48,25,73,1.0,-6,0,0,0,0,2015,0
30,Geno Matias-Smith,Unknown,S,51,21,72,0.0,0,0,1,0,1,2015,0
31,Blake Countess,Unknown,CB,44,27,71,0.0,0,0,2,0,0,2015,6
32,Brian Randolph,Unknown,DB,52,18,70,0.0,0,0,2,0,1,2015,0
